name,optimal_cost
X-n284-k15,20226
X-n294-k50,47161
X-n251-k28,38684
X-n157-k13,16876
X-n167-k10,20557
X-n129-k18,28940
X-n106-k14,26362
X-n172-k51,45607
X-n143-k7,15700
X-n219-k73,117595
X-n101-k25,27591
X-n280-k17,33503
X-n209-k16,30656
X-n115-k10,12747
X-n181-k23,25569
X-n233-k16,19230
X-n162-k11,14138
X-n204-k19,19565
X-n256-k16,18839
X-n247-k50,37274
X-n110-k13,14971
X-n298-k31,34231
X-n148-k46,43448
X-n275-k28,21245
X-n134-k13,10916
X-n266-k58,75478
X-n200-k36,58578
X-n223-k34,40437
X-n176-k26,47812
X-n270-k35,35291
X-n228-k23,25742
X-n242-k48,82751
X-n120-k6,13332
X-n139-k10,13590
X-n153-k22,21220
X-n237-k14,27042
X-n261-k13,26558
X-n195-k51,44225
X-n289-k60,95151
X-n186-k15,24145
X-n214-k11,10856
X-n125-k30,55539
X-n190-k8,16980
